storeid,completestorename,city,pct_negative,pct_neutral,pct_positive,review_count,top_complaint_aspect,top_praise_aspect
nyl3,Nagori Laban House,Karachi,44.11764705882353,14.705882352941178,41.17647058823529,34,taste,delivery_rider
hsmi,Chips & Chopsticks,Lahore,47.05882352941176,5.88235294117647,47.05882352941176,34,taste,taste
xwqj,M M W Foods,Karachi,44.11764705882353,11.76470588235294,44.11764705882353,34,taste,taste
t3dz,Defence Bar.B.Q,Lahore,67.64705882352942,5.88235294117647,26.47058823529412,34,hygiene,taste
l7oc,Darbar E Shereen,Karachi,38.23529411764706,0.0,61.76470588235294,34,quantity,taste
x18x,Delicious Bites,Karachi,8.823529411764707,0.0,91.17647058823529,34,taste,taste
i802,Roni's Pizzeria,Lahore,17.647058823529413,2.941176470588235,79.41176470588235,34,hygiene,taste
sx7z,Homemade Healthy Food,Lahore,29.411764705882355,2.941176470588235,67.64705882352942,34,taste,taste
o9zh,Muhammadi Dehli Nihari Restaurant,Karachi,67.64705882352942,2.941176470588235,29.411764705882355,34,taste,taste
chdc,Chicago Boba Bubble Tea,Karachi,38.23529411764706,5.88235294117647,55.88235294117647,34,hygiene,taste
xbas,Tasty Eats,Faisalabad,41.17647058823529,2.941176470588235,55.88235294117647,34,quantity,taste
sqcn,Peshawar Tea House ( Gulbahar),Peshawar,50.0,17.647058823529413,32.35294117647059,34,quantity,taste
cbcp,Hot N Spicy,Rawalpindi,94.11764705882352,0.0,5.88235294117647,34,taste,hygiene
iama,Nisa Sultan Turkish Cuisine,Faisalabad,44.11764705882353,0.0,55.88235294117647,34,taste,taste
u5lb,Lehri Sajji House - Toghi Road,Quetta,38.23529411764706,5.88235294117647,55.88235294117647,34,price,taste
cpev,Al Madeena Restaurant,Lahore,64.70588235294117,8.823529411764707,26.47058823529412,34,taste,taste
cnuw,T.M's kitchen,Rawalpindi,32.35294117647059,5.88235294117647,61.76470588235294,34,taste,taste
n0qs,Paradise Food Cornor,Lahore,41.17647058823529,8.823529411764707,50.0,34,taste,taste
ifm9,Lahori Murgh Pulao & Restaurant,Islamabad,73.52941176470588,5.88235294117647,20.588235294117645,34,taste,taste
sloe,Spoon Spark,Lahore,44.11764705882353,17.647058823529413,38.23529411764706,34,taste,taste
kuts,Koko's Kitchen,Rawalpindi,5.88235294117647,8.823529411764707,85.29411764705883,34,quantity,taste
andc,Falafel - Barkat Market,Lahore,47.05882352941176,2.941176470588235,50.0,34,taste,taste
r1vl,SIR G Juice & Fast Food,Peshawar,14.705882352941178,8.823529411764707,76.47058823529412,34,taste,taste
n8nv,Rehman Sajji House,Lahore,58.82352941176471,14.705882352941178,26.47058823529412,34,taste,taste
pwkj,Lazzat-e-Khuloos,Rawalpindi,38.23529411764706,14.705882352941178,47.05882352941176,34,taste,taste
v98h,Italiano Pizza,Karachi,61.76470588235294,14.705882352941178,23.52941176470588,34,taste,price
v7kl,Liu's Kim Mun Chinese By Hsin Kuang,Lahore,64.70588235294117,14.705882352941178,20.588235294117645,34,taste,taste
v6tv,New Al Kabab Restaurant & Bar B Q,Rahim Yar Khan,61.76470588235294,8.823529411764707,29.411764705882355,34,taste,taste
ual4,Biya's Kitchen,Karachi,82.35294117647058,11.76470588235294,5.88235294117647,34,quantity,taste
qyw9,Wraps by Timmy's - Mall of Multan,Multan,44.11764705882353,2.941176470588235,52.94117647058824,34,taste,taste
vwld,Seemi secrets recipes,Lahore,23.52941176470588,8.823529411764707,67.64705882352942,34,taste,taste
vwk0,Global bites,Faisalabad,32.35294117647059,5.88235294117647,61.76470588235294,34,taste,taste
qwtl,Qos-e-qaza,Lahore,82.35294117647058,5.88235294117647,11.76470588235294,34,taste,taste
ubaj,Cheesy Char Chicken,Lahore,52.94117647058824,11.76470588235294,35.294117647058826,34,taste,taste
kjms,Quetta Peshawari Cafe ( Arbab Road ),Peshawar,50.0,20.588235294117645,29.411764705882355,34,taste,taste
km6d,Cook For You,Islamabad,29.411764705882355,2.941176470588235,67.64705882352942,34,hygiene,taste
knzp,Caffeno,Karachi,58.82352941176471,5.88235294117647,35.294117647058826,34,quantity,taste
zqgh,Karachi Rabri,Lahore,51.515151515151516,3.0303030303030303,45.45454545454545,33,taste,taste
kkdj,Al-Meraj Bakers & Sweets - Peoples Colony,Gujranwala,57.57575757575758,9.090909090909092,33.33333333333333,33,hygiene,taste
zsjw,Mana’s Cookie Co - Jauhar,Karachi,72.72727272727273,9.090909090909092,18.181818181818183,33,taste,delivery_rider
adyt,ZOHO,Karachi,21.21212121212121,3.0303030303030303,75.75757575757575,33,taste,taste
agr7,The Wrap Trap,Faisalabad,51.515151515151516,3.0303030303030303,45.45454545454545,33,taste,taste
zdk0,Cravings by Amby,Islamabad,33.33333333333333,12.121212121212121,54.54545454545454,33,quantity,taste
a5wm,Italian Affair,Lahore,60.60606060606061,9.090909090909092,30.303030303030305,33,taste,taste
ypev,Cheez_it Pizza and Pasta,Wah Cantt,42.42424242424242,15.151515151515152,42.42424242424242,33,taste,taste
dvoc,FUSE,Karachi,57.57575757575758,3.0303030303030303,39.39393939393939,33,taste,taste
zjow,Dar Shami House,Sialkot,27.27272727272727,18.181818181818183,54.54545454545454,33,taste,taste
qz4q,Gloria Jean's Coffee,Gujranwala,48.484848484848484,15.151515151515152,36.36363636363637,33,taste,taste
